ticker,merkmal,ziel,n_mit_bis2022,n_ohne_bis2022,q_mit_bis2022,q_ohne_bis2022,diff_bis2022,n_mit_ab2023,n_ohne_ab2023,q_mit_ab2023,q_ohne_ab2023,diff_ab2023
ABNB,tief_ab_2,haelt2,66,78,31.8,37.2,-5.4,115,150,43.5,48.7,-5.2
ABT,reif,gut_a,125,132,25.6,32.6,-7.0,133,107,23.3,30.8,-7.5
ABT,reif,gut_b,125,132,24.8,37.1,-12.3,133,107,24.1,32.7,-8.6
ABT,reif,haelt2,125,132,47.2,47.0,0.2,133,107,38.3,45.8,-7.5
ABT,korr_tief_rang,gut_a,36,195,27.8,31.8,-4.0,40,200,15.0,29.0,-14.0
ABT,korr_tief_rang,gut_b,36,195,22.2,34.9,-12.7,40,200,15.0,30.5,-15.5
ABT,korr_tief_rang,haelt2,36,195,55.6,48.7,6.9,40,200,27.5,44.5,-17.0
ABT,korr_lang_rang,gut_a,18,213,38.9,30.5,8.4,40,200,15.0,29.0,-14.0
ABT,korr_lang_rang,gut_b,18,213,50.0,31.5,18.5,40,200,15.0,30.5,-15.5
ABT,korr_lang_rang,haelt2,18,213,77.8,47.4,30.4,40,200,32.5,43.5,-11.0
ABT,rsi_tief_rang,gut_a,61,170,27.9,32.4,-4.5,45,195,22.2,27.7,-5.5
ABT,rsi_tief_rang,gut_b,61,170,27.9,34.7,-6.8,45,195,26.7,28.2,-1.5
ABT,rsi_tief_rang,haelt2,61,170,47.5,50.6,-3.1,45,195,44.4,41.0,3.4
ABT,rsi_unter_50,gut_a,100,157,31.0,28.0,3.0,119,121,29.4,24.0,5.4
ABT,rsi_unter_50,gut_b,100,157,31.0,31.2,-0.2,119,121,31.9,24.0,7.9
ABT,rsi_unter_50,haelt2,100,157,43.0,49.7,-6.7,119,121,44.5,38.8,5.7
ABT,divergenz,gut_a,10,76,90.0,22.4,67.6,11,86,27.3,19.8,7.5
ABT,divergenz,gut_b,10,76,80.0,23.7,56.3,11,86,27.3,19.8,7.5
ABT,divergenz,haelt2,10,76,90.0,43.4,46.6,11,86,36.4,32.6,3.8
ABT,ausverkauf,gut_a,12,245,16.7,29.8,-13.1,21,219,19.0,27.4,-8.4
ABT,ausverkauf,gut_b,12,245,33.3,31.0,2.3,21,219,23.8,28.3,-4.5
ABT,ausverkauf,haelt2,12,245,58.3,46.5,11.8,21,219,52.4,40.6,11.8
ABT,erschoepfung,gut_a,26,60,53.8,20.0,33.8,30,67,23.3,19.4,3.9
ABT,erschoepfung,gut_b,26,60,53.8,20.0,33.8,30,67,23.3,19.4,3.9
ABT,erschoepfung,haelt2,26,60,76.9,36.7,40.2,30,67,33.3,32.8,0.5
ABT,erholung_vol,gut_a,10,247,30.0,29.1,0.9,12,228,16.7,27.2,-10.5
ABT,erholung_vol,gut_b,10,247,30.0,31.2,-1.2,12,228,25.0,28.1,-3.1
ABT,erholung_vol,haelt2,10,247,60.0,46.6,13.4,12,228,50.0,41.2,8.8
ABT,zweig_a,gut_a,128,129,21.9,36.4,-14.5,134,106,23.9,30.2,-6.3
ABT,zweig_a,gut_b,128,129,25.0,37.2,-12.2,134,106,23.9,33.0,-9.1
ABT,zweig_a,haelt2,128,129,41.4,52.7,-11.3,134,106,37.3,47.2,-9.9
ABT,zweig_b,gut_a,145,112,36.6,19.6,17.0,128,112,31.2,21.4,9.8
ABT,zweig_b,gut_b,145,112,36.6,24.1,12.5,128,112,33.6,21.4,12.2
ABT,zweig_b,haelt2,145,112,51.7,41.1,10.6,128,112,51.6,30.4,21.2
ABT,hammer,gut_a,13,244,23.1,29.5,-6.4,10,230,30.0,26.5,3.5
ABT,hammer,gut_b,13,244,23.1,31.6,-8.5,10,230,30.0,27.8,2.2
ABT,hammer,haelt2,13,244,38.5,47.5,-9.0,10,230,30.0,42.2,-12.2
ABT,doppelboden,gut_a,19,238,36.8,28.6,8.2,20,220,30.0,26.4,3.6
ABT,doppelboden,gut_b,19,238,36.8,30.7,6.1,20,220,30.0,27.7,2.3
ABT,doppelboden,haelt2,19,238,52.6,46.6,6.0,20,220,45.0,41.4,3.6
ABT,schluss_ueber_vortageshoch,gut_a,77,180,41.6,23.9,17.7,74,166,33.8,23.5,10.3
ABT,schluss_ueber_vortageshoch,gut_b,77,180,42.9,26.1,16.8,74,166,37.8,23.5,14.3
ABT,schluss_ueber_vortageshoch,haelt2,77,180,63.6,40.0,23.6,74,166,54.1,36.1,18.0
ABT,kein_neues_tief,gut_a,141,116,35.5,21.6,13.9,126,114,32.5,20.2,12.3
ABT,kein_neues_tief,gut_b,141,116,37.6,23.3,14.3,126,114,34.1,21.1,13.0
ABT,kein_neues_tief,haelt2,141,116,52.5,40.5,12.0,126,114,48.4,34.2,14.2
ABT,ueber_ema200,gut_a,115,82,31.3,26.8,4.5,141,99,24.1,30.3,-6.2
ABT,ueber_ema200,gut_b,115,82,33.0,24.4,8.6,141,99,23.4,34.3,-10.9
ABT,ueber_ema200,haelt2,115,82,49.6,39.0,10.6,141,99,38.3,46.5,-8.2
ABT,tief_ab_2,gut_a,133,124,33.8,24.2,9.6,144,96,29.2,22.9,6.3
ABT,tief_ab_2,gut_b,133,124,35.3,26.6,8.7,144,96,31.9,21.9,10.0
ABT,tief_ab_2,haelt2,133,124,53.4,40.3,13.1,144,96,45.8,35.4,10.4
ACN,reif,gut_a,104,158,28.8,35.4,-6.6,146,127,21.9,20.5,1.4
ACN,reif,gut_b,104,158,30.8,37.3,-6.5,146,127,21.2,26.0,-4.8
ACN,reif,haelt2,104,158,48.1,48.1,0.0,146,127,32.2,44.9,-12.7
ACN,korr_tief_rang,gut_a,45,204,35.6,32.8,2.8,54,219,29.6,19.2,10.4
ACN,korr_tief_rang,gut_b,45,204,35.6,35.3,0.3,54,219,27.8,22.4,5.4
ACN,korr_tief_rang,haelt2,45,204,64.4,46.1,18.3,54,219,37.0,38.4,-1.4
ACN,korr_lang_rang,gut_a,44,205,38.6,32.2,6.4,65,208,20.0,21.6,-1.6
ACN,korr_lang_rang,gut_b,44,205,38.6,34.6,4.0,65,208,18.5,25.0,-6.5
ACN,korr_lang_rang,haelt2,44,205,61.4,46.8,14.6,65,208,26.2,41.8,-15.6
ACN,rsi_tief_rang,gut_a,78,171,39.7,30.4,9.3,64,209,31.2,18.2,13.0
ACN,rsi_tief_rang,gut_b,78,171,41.0,32.7,8.3,64,209,31.2,21.1,10.1
ACN,rsi_tief_rang,haelt2,78,171,64.1,42.7,21.4,64,209,42.2,36.8,5.4
ACN,rsi_unter_50,gut_a,92,170,32.6,32.9,-0.3,134,139,26.1,16.5,9.6
ACN,rsi_unter_50,gut_b,92,170,29.3,37.6,-8.3,134,139,27.6,19.4,8.2
ACN,rsi_unter_50,haelt2,92,170,56.5,43.5,13.0,134,139,36.6,39.6,-3.0
ACN,divergenz,gut_a,14,57,42.9,33.3,9.6,12,80,8.3,17.5,-9.2
ACN,divergenz,gut_b,14,57,42.9,36.8,6.1,12,80,8.3,16.2,-7.9
ACN,divergenz,haelt2,14,57,71.4,52.6,18.8,12,80,25.0,23.8,1.2
ACN,ausverkauf,gut_a,9,253,11.1,33.6,,19,254,47.4,19.3,28.1
ACN,ausverkauf,gut_b,9,253,11.1,35.6,,19,254,57.9,20.9,37.0
ACN,ausverkauf,haelt2,9,253,22.2,49.0,,19,254,68.4,35.8,32.6
ACN,erschoepfung,gut_a,23,48,26.1,39.6,-13.5,24,68,12.5,17.6,-5.1
ACN,erschoepfung,gut_b,23,48,30.4,41.7,-11.3,24,68,12.5,16.2,-3.7
