ticker,zeitraum,puffer,punkte,faelle,rendite_mittel,rendite_median,ko_quote
BKR,ab2023,1.0,0,74,43.0,-23.6,29.7
BKR,ab2023,1.0,1,152,15.7,-26.4,21.7
BKR,ab2023,1.0,2,36,47.0,-3.8,5.6
BKR,ab2023,1.0,3,3,35.1,26.3,0.0
BKR,bis2022,1.0,0,77,1.0,-46.6,31.2
BKR,bis2022,1.0,1,144,10.5,-18.0,18.1
BKR,bis2022,1.0,2,24,-9.7,-42.8,8.3
BKR,bis2022,1.0,3,2,121.6,121.6,0.0
BLK,ab2023,1.0,0,82,-8.1,-52.0,40.2
BLK,ab2023,1.0,1,150,29.4,-7.5,16.7
BLK,ab2023,1.0,2,35,71.7,30.5,8.6
BLK,ab2023,1.0,3,2,60.7,60.7,0.0
BLK,bis2022,1.0,0,73,20.7,-17.3,37.0
BLK,bis2022,1.0,1,129,32.6,-13.1,20.2
BLK,bis2022,1.0,2,45,8.4,-3.6,11.1
BLK,bis2022,1.0,3,3,194.4,190.6,0.0
BMO,ab2023,1.0,0,87,31.6,-100.0,52.9
BMO,ab2023,1.0,1,161,20.7,-17.0,23.6
BMO,ab2023,1.0,2,38,11.8,-36.6,21.1
BMO,ab2023,1.0,3,2,122.0,122.0,0.0
BMO,bis2022,1.0,0,81,-3.0,-81.6,48.1
BMO,bis2022,1.0,1,131,22.8,-14.2,23.7
BMO,bis2022,1.0,2,25,73.5,22.5,16.0
BMO,bis2022,1.0,3,3,31.8,-55.8,33.3
BMW.DE,ab2023,1.0,0,78,18.9,-49.1,35.9
BMW.DE,ab2023,1.0,1,148,-18.5,-45.6,33.1
BMW.DE,ab2023,1.0,2,38,4.8,-43.1,31.6
BMW.DE,ab2023,1.0,3,4,151.5,17.5,25.0
BMW.DE,bis2022,1.0,0,95,-11.2,-65.4,45.3
BMW.DE,bis2022,1.0,1,136,6.4,-36.2,30.1
BMW.DE,bis2022,1.0,2,26,5.9,-14.7,11.5
BMW.DE,bis2022,1.0,3,1,27.4,27.4,0.0
BMY,ab2023,1.0,0,68,5.7,-54.8,42.6
BMY,ab2023,1.0,1,119,-21.4,-52.5,36.1
BMY,ab2023,1.0,2,30,-22.1,-37.0,20.0
BMY,bis2022,1.0,0,77,21.0,-24.4,35.1
BMY,bis2022,1.0,1,156,6.7,-19.9,30.1
BMY,bis2022,1.0,2,8,1.1,-6.5,37.5
BMY,bis2022,1.0,3,1,260.1,260.1,0.0
BNR.DE,ab2023,1.0,0,85,-44.7,-100.0,54.1
BNR.DE,ab2023,1.0,1,123,-27.5,-52.6,35.0
BNR.DE,ab2023,1.0,2,51,20.2,8.5,19.6
BNR.DE,ab2023,1.0,3,3,88.4,55.2,0.0
BNR.DE,bis2022,1.0,0,71,15.8,-8.2,33.8
BNR.DE,bis2022,1.0,1,134,8.9,-6.3,26.1
BNR.DE,bis2022,1.0,2,51,8.3,-24.1,21.6
BNR.DE,bis2022,1.0,3,2,-17.9,-17.9,0.0
BNS,ab2023,1.0,0,88,42.1,-25.7,31.8
BNS,ab2023,1.0,1,148,16.4,3.5,18.2
BNS,ab2023,1.0,2,25,16.1,24.9,16.0
BNS,bis2022,1.0,0,84,-0.4,-54.1,39.3
BNS,bis2022,1.0,1,134,-2.1,-24.4,22.4
BNS,bis2022,1.0,2,23,43.9,38.4,17.4
BNS,bis2022,1.0,3,3,-22.7,-58.7,0.0
BNY,ab2023,1.0,0,84,47.8,19.1,21.4
BNY,ab2023,1.0,1,130,32.8,1.4,14.6
BNY,ab2023,1.0,2,28,17.3,-14.4,7.1
BNY,ab2023,1.0,3,3,4.4,-57.3,0.0
BNY,bis2022,1.0,0,77,15.8,-29.0,29.9
BNY,bis2022,1.0,1,152,-5.7,-18.6,25.7
BNY,bis2022,1.0,2,32,23.0,-9.8,6.2
BNY,bis2022,1.0,3,4,-22.1,-26.8,0.0
BP,ab2023,1.0,0,118,-10.5,-66.5,45.8
BP,ab2023,1.0,1,139,-10.8,-31.5,30.9
BP,ab2023,1.0,2,46,-16.6,-27.8,17.4
BP,ab2023,1.0,3,2,-20.4,-20.4,0.0
BP,bis2022,1.0,0,108,-5.3,-60.8,44.4
BP,bis2022,1.0,1,159,-7.2,-43.6,28.3
BP,bis2022,1.0,2,21,-3.4,-19.1,28.6
BRK-B,ab2023,1.0,0,73,20.0,-20.8,32.9
BRK-B,ab2023,1.0,1,139,2.4,-17.5,20.9
BRK-B,ab2023,1.0,2,33,9.4,2.9,3.0
BRK-B,ab2023,1.0,3,4,-10.8,-32.5,0.0
BRK-B,bis2022,1.0,0,80,22.7,-35.7,37.5
BRK-B,bis2022,1.0,1,151,26.7,-14.1,17.9
BRK-B,bis2022,1.0,2,41,27.5,-8.2,12.2
BTI,ab2023,1.0,0,102,6.9,-61.9,45.1
BTI,ab2023,1.0,1,126,14.5,-30.7,27.0
BTI,ab2023,1.0,2,51,5.8,-0.3,15.7
BTI,ab2023,1.0,3,2,-47.4,-47.4,0.0
BTI,bis2022,1.0,0,112,-21.2,-100.0,50.9
BTI,bis2022,1.0,1,135,-0.5,-24.1,26.7
BTI,bis2022,1.0,2,45,23.0,-21.1,24.4
BTI,bis2022,1.0,3,2,-19.9,-19.9,0.0
C,ab2023,1.0,0,96,29.8,-37.6,29.2
C,ab2023,1.0,1,135,43.3,4.5,7.4
C,ab2023,1.0,2,17,91.2,74.1,0.0
C,ab2023,1.0,3,4,21.4,-11.8,0.0
C,bis2022,1.0,0,99,-17.3,-73.7,47.5
C,bis2022,1.0,1,143,31.0,-13.2,15.4
C,bis2022,1.0,2,31,-13.9,-37.6,16.1
C,bis2022,1.0,3,3,-63.7,-80.1,33.3
CAT,ab2023,1.0,0,60,79.2,-22.6,36.7
CAT,ab2023,1.0,1,159,65.4,10.1,19.5
CAT,ab2023,1.0,2,34,45.4,-28.8,23.5
CAT,ab2023,1.0,3,2,256.2,256.2,0.0
CAT,bis2022,1.0,0,79,15.6,-32.6,39.2
CAT,bis2022,1.0,1,119,13.6,-11.9,22.7
CAT,bis2022,1.0,2,41,42.0,12.0,9.8
CAT,bis2022,1.0,3,3,125.8,124.7,0.0
CB,ab2023,1.0,0,88,23.2,-57.1,45.5
CB,ab2023,1.0,1,129,-2.4,-22.9,24.0
CB,ab2023,1.0,2,23,-30.3,-28.1,17.4
CB,ab2023,1.0,3,1,406.9,406.9,0.0
CB,bis2022,1.0,0,72,-27.3,-81.2,45.8
CB,bis2022,1.0,1,160,3.2,-33.8,22.5
CB,bis2022,1.0,2,23,2.1,-22.7,8.7
CB,bis2022,1.0,3,1,-17.3,-17.3,0.0
CBK.DE,ab2023,1.0,0,67,40.7,-18.4,26.9
CBK.DE,ab2023,1.0,1,156,25.7,-20.1,17.9
CBK.DE,ab2023,1.0,2,28,99.0,24.7,0.0
