ticker,zeitraum,band,klasse,n,ew_atr
AMD,bis2022,mittel,25-40,39,1.171
AMD,bis2022,weit,0-10,35,0.011
AMD,bis2022,sehr weit,0-10,35,-0.1
AMD,bis2022,frueh,40-100,9,-2.175
AMD,bis2022,frueh,0-10,2,0.817
AMD,bis2022,frueh,25-40,1,0.456
AMD,bis2022,mittel,40-100,123,0.429
AMD,bis2022,mittel,unter Einstieg,172,0.707
AMD,bis2022,mittel,0-10,50,-0.128
AMD,bis2022,weit,10-25,33,-0.15
AMD,bis2022,weit,40-100,151,2.666
AMD,bis2022,weit,unter Einstieg,68,3.718
AMD,bis2022,weit,25-40,29,1.639
AMD,bis2022,sehr weit,25-40,23,-2.492
AMD,bis2022,frueh,10-25,7,-1.713
AMD,bis2022,frueh,unter Einstieg,29,0.692
AMD,bis2022,sehr weit,10-25,32,-2.817
AMD,bis2022,sehr weit,40-100,41,-2.536
AMD,bis2022,sehr weit,unter Einstieg,42,-1.754
AMD,ab2023,mittel,25-40,56,1.23
AMD,ab2023,mittel,10-25,74,0.3
AMD,ab2023,mittel,0-10,34,0.295
AMD,ab2023,weit,10-25,54,0.594
AMD,ab2023,weit,0-10,35,0.198
AMD,ab2023,frueh,0-10,4,2.083
AMD,ab2023,mittel,40-100,161,2.391
AMD,ab2023,weit,25-40,42,1.631
AMD,ab2023,weit,40-100,115,2.518
AMD,ab2023,sehr weit,0-10,36,0.071
AMD,ab2023,mittel,unter Einstieg,224,1.08
AMD,ab2023,sehr weit,10-25,18,2.017
AMD,ab2023,sehr weit,25-40,6,0.81
AMD,ab2023,frueh,10-25,1,1.411
AMD,ab2023,weit,unter Einstieg,64,3.263
AMD,ab2023,frueh,40-100,9,1.749
AMD,ab2023,frueh,unter Einstieg,15,-0.245
AMD,ab2023,frueh,25-40,3,0.182
AMD,ab2023,sehr weit,40-100,10,-3.42
AMD,ab2023,sehr weit,unter Einstieg,2,-0.935
AMGN,bis2022,mittel,25-40,27,1.426
AMGN,bis2022,sehr weit,10-25,47,-0.087
AMGN,bis2022,weit,0-10,41,-0.123
AMGN,bis2022,sehr weit,40-100,137,-0.531
AMGN,bis2022,sehr weit,0-10,60,-0.257
AMGN,bis2022,sehr weit,25-40,30,-1.783
AMGN,bis2022,sehr weit,unter Einstieg,90,2.515
AMGN,bis2022,mittel,10-25,42,1.172
AMGN,bis2022,mittel,40-100,82,2.305
AMGN,bis2022,mittel,unter Einstieg,55,1.389
AMGN,bis2022,mittel,0-10,22,0.443
AMGN,bis2022,weit,25-40,52,0.018
AMGN,bis2022,weit,10-25,51,-0.016
AMGN,bis2022,weit,40-100,69,-0.878
AMGN,bis2022,weit,unter Einstieg,66,-1.777
AMGN,ab2023,mittel,10-25,26,1.956
AMGN,ab2023,sehr weit,10-25,34,1.884
AMGN,ab2023,sehr weit,40-100,27,3.439
AMGN,ab2023,mittel,0-10,22,1.318
AMGN,ab2023,weit,0-10,30,1.23
AMGN,ab2023,sehr weit,0-10,30,0.879
AMGN,ab2023,weit,40-100,32,2.068
AMGN,ab2023,weit,25-40,19,1.537
AMGN,ab2023,sehr weit,25-40,16,2.5
AMGN,ab2023,mittel,40-100,72,0.851
AMGN,ab2023,mittel,25-40,27,1.364
AMGN,ab2023,weit,10-25,24,2.793
AMGN,ab2023,mittel,unter Einstieg,83,0.829
AMGN,ab2023,weit,unter Einstieg,56,1.25
AMGN,ab2023,sehr weit,unter Einstieg,2,5.01
AMT,bis2022,mittel,0-10,20,0.111
AMT,bis2022,weit,10-25,29,0.054
AMT,bis2022,weit,0-10,32,0.345
AMT,bis2022,weit,40-100,40,0.334
AMT,bis2022,weit,25-40,17,0.699
AMT,bis2022,sehr weit,0-10,70,-0.762
AMT,bis2022,mittel,25-40,21,0.853
AMT,bis2022,mittel,10-25,32,0.559
AMT,bis2022,mittel,40-100,104,0.044
AMT,bis2022,mittel,unter Einstieg,142,-0.859
AMT,bis2022,sehr weit,10-25,22,-0.496
AMT,bis2022,weit,unter Einstieg,62,-1.552
AMT,bis2022,sehr weit,25-40,56,-2.4
AMT,bis2022,sehr weit,40-100,86,-3.222
AMT,bis2022,sehr weit,unter Einstieg,95,-1.538
AMT,ab2023,mittel,10-25,25,-0.117
AMT,ab2023,weit,10-25,29,-0.525
AMT,ab2023,weit,40-100,113,-1.428
AMT,ab2023,weit,unter Einstieg,115,-1.518
AMT,ab2023,weit,25-40,43,-1.437
AMT,ab2023,weit,0-10,21,0.148
AMT,ab2023,sehr weit,10-25,40,-0.778
AMT,ab2023,mittel,40-100,131,-2.315
AMT,ab2023,sehr weit,25-40,50,-0.739
AMT,ab2023,sehr weit,40-100,150,-0.149
AMT,ab2023,sehr weit,0-10,42,-0.963
AMT,ab2023,mittel,unter Einstieg,198,-1.62
AMT,ab2023,mittel,0-10,31,-0.971
AMT,ab2023,mittel,25-40,23,-1.394
AMT,ab2023,sehr weit,unter Einstieg,49,-0.602
AMZN,bis2022,mittel,10-25,20,0.075
AMZN,bis2022,weit,0-10,29,-0.15
AMZN,bis2022,sehr weit,0-10,9,-0.077
AMZN,bis2022,mittel,25-40,26,-1.097
AMZN,bis2022,mittel,0-10,35,-0.669
AMZN,bis2022,mittel,40-100,88,-0.749
AMZN,bis2022,mittel,unter Einstieg,147,-0.212
AMZN,bis2022,weit,10-25,13,-0.34
AMZN,bis2022,weit,40-100,17,-1.677
AMZN,bis2022,weit,25-40,7,-0.976
AMZN,bis2022,frueh,10-25,1,0.583
AMZN,bis2022,sehr weit,10-25,1,1.124
AMZN,bis2022,weit,unter Einstieg,25,-1.568
AMZN,bis2022,frueh,0-10,1,-4.044
AMZN,ab2023,mittel,10-25,44,1.822
AMZN,ab2023,mittel,0-10,39,1.615
AMZN,ab2023,mittel,40-100,96,2.953
