datum,vix,vdax,fg,vdax_quelle
2011-11-25,,,51.00,gemessen:^GDAXI
2011-11-28,,,57.00,gemessen:^GDAXI
2011-11-29,,,62.00,gemessen:^GDAXI
2011-11-30,,,67.00,gemessen:^GDAXI
2011-12-01,,,61.00,gemessen:^GDAXI
2011-12-02,,,67.00,gemessen:^GDAXI
2011-12-05,,,66.00,gemessen:^GDAXI
2011-12-06,,,66.00,gemessen:^GDAXI
2011-12-07,,,66.00,gemessen:^GDAXI
2011-12-08,,,66.00,gemessen:^GDAXI
2011-12-09,,,65.00,gemessen:^GDAXI
2011-12-12,,,62.00,gemessen:^GDAXI
2011-12-13,,,56.00,gemessen:^GDAXI
2011-12-14,,,61.00,gemessen:^GDAXI
2011-12-15,,,61.00,gemessen:^GDAXI
2011-12-16,,,60.00,gemessen:^GDAXI
2011-12-19,,,74.00,gemessen:^GDAXI
2011-12-20,,,74.00,gemessen:^GDAXI
2011-12-21,,,74.00,gemessen:^GDAXI
2011-12-22,,,78.00,gemessen:^GDAXI
2011-12-23,,,77.00,gemessen:^GDAXI
2011-12-27,,,75.00,gemessen:^GDAXI
2011-12-28,,,75.00,gemessen:^GDAXI
2011-12-29,,,75.00,gemessen:^GDAXI
2011-12-30,,,75.00,gemessen:^GDAXI
2012-01-03,,,77.00,gemessen:^GDAXI
2012-01-04,,,77.00,gemessen:^GDAXI
2012-01-05,,,78.00,gemessen:^GDAXI
2012-01-06,,,78.00,gemessen:^GDAXI
2012-01-09,,,81.00,gemessen:^GDAXI
2012-01-10,,,82.00,gemessen:^GDAXI
2012-01-11,,,83.00,gemessen:^GDAXI
2012-01-12,,,83.00,gemessen:^GDAXI
2012-01-13,,,83.00,gemessen:^GDAXI
2012-01-17,,,88.00,gemessen:^GDAXI
2012-01-18,,,90.00,gemessen:^GDAXI
2012-01-19,,,89.00,gemessen:^GDAXI
2012-01-20,,,88.00,gemessen:^GDAXI
2012-01-23,,,87.00,gemessen:^GDAXI
2012-01-24,,,87.00,gemessen:^GDAXI
2012-01-25,,,84.00,gemessen:^GDAXI
2012-01-26,,,82.00,gemessen:^GDAXI
2012-01-27,,,82.00,gemessen:^GDAXI
2012-01-30,,,82.00,gemessen:^GDAXI
2012-01-31,,,85.00,gemessen:^GDAXI
2012-02-01,,,87.00,gemessen:^GDAXI
2012-02-02,,,88.00,gemessen:^GDAXI
2012-02-03,,,88.00,gemessen:^GDAXI
2012-02-06,,,88.00,gemessen:^GDAXI
2012-02-07,,,86.00,gemessen:^GDAXI
2012-02-08,,,86.00,gemessen:^GDAXI
2012-02-09,,,85.00,gemessen:^GDAXI
2012-02-10,,,83.00,gemessen:^GDAXI
2012-02-13,,,83.00,gemessen:^GDAXI
2012-02-14,,,81.00,gemessen:^GDAXI
2012-02-15,,,82.00,gemessen:^GDAXI
2012-02-16,,,81.00,gemessen:^GDAXI
2012-02-17,,,80.00,gemessen:^GDAXI
2012-02-21,,,79.00,gemessen:^GDAXI
2012-02-22,,,78.00,gemessen:^GDAXI
2012-02-23,,,79.00,gemessen:^GDAXI
2012-02-24,,,79.00,gemessen:^GDAXI
2012-02-27,,,75.00,gemessen:^GDAXI
2012-02-28,,,75.00,gemessen:^GDAXI
2012-02-29,,,72.00,gemessen:^GDAXI
2012-03-01,,,70.00,gemessen:^GDAXI
2012-03-02,,,68.00,gemessen:^GDAXI
2012-03-05,,,66.00,gemessen:^GDAXI
2012-03-06,,,63.00,gemessen:^GDAXI
2012-03-07,,,62.00,gemessen:^GDAXI
2012-03-08,,,63.00,gemessen:^GDAXI
2012-03-09,,,70.00,gemessen:^GDAXI
2012-03-12,,,74.00,gemessen:^GDAXI
2012-03-13,,,79.00,gemessen:^GDAXI
2012-03-14,,,79.00,gemessen:^GDAXI
2012-03-15,,,79.00,gemessen:^GDAXI
2012-03-16,,,77.00,gemessen:^GDAXI
2012-03-19,,,73.00,gemessen:^GDAXI
2012-03-20,,,73.00,gemessen:^GDAXI
2012-03-21,,,71.00,gemessen:^GDAXI
2012-03-22,,,66.00,gemessen:^GDAXI
2012-03-23,,,71.00,gemessen:^GDAXI
2012-03-26,,,66.00,gemessen:^GDAXI
2012-03-27,,,66.00,gemessen:^GDAXI
2012-03-28,,,62.00,gemessen:^GDAXI
2012-03-29,,,62.00,gemessen:^GDAXI
2012-03-30,,,63.00,gemessen:^GDAXI
2012-04-02,,,63.00,gemessen:^GDAXI
2012-04-03,,,61.00,gemessen:^GDAXI
2012-04-04,,,63.00,gemessen:^GDAXI
2012-04-05,,,55.00,gemessen:^GDAXI
2012-04-09,,,46.00,gemessen:^GDAXI
2012-04-10,,,39.00,gemessen:^GDAXI
2012-04-11,,,39.00,gemessen:^GDAXI
2012-04-12,,,38.00,gemessen:^GDAXI
2012-04-13,,,38.00,gemessen:^GDAXI
2012-04-16,,,37.00,gemessen:^GDAXI
2012-04-17,,,37.00,gemessen:^GDAXI
2012-04-18,,,36.00,gemessen:^GDAXI
2012-04-19,,,35.00,gemessen:^GDAXI
2012-04-20,,,35.00,gemessen:^GDAXI
2012-04-23,,,34.00,gemessen:^GDAXI
2012-04-24,,,34.00,gemessen:^GDAXI
2012-04-25,,,38.00,gemessen:^GDAXI
2012-04-26,,,40.00,gemessen:^GDAXI
2012-04-27,,,41.00,gemessen:^GDAXI
2012-04-30,,,43.00,gemessen:^GDAXI
2012-05-01,,,42.00,gemessen:^GDAXI
2012-05-02,,,42.00,gemessen:^GDAXI
2012-05-03,,,41.00,gemessen:^GDAXI
2012-05-04,,,41.00,gemessen:^GDAXI
2012-05-07,,,38.00,gemessen:^GDAXI
2012-05-08,,,32.00,gemessen:^GDAXI
2012-05-09,,,32.00,gemessen:^GDAXI
2012-05-10,,,32.00,gemessen:^GDAXI
2012-05-11,,,25.00,gemessen:^GDAXI
2012-05-14,,,23.00,gemessen:^GDAXI
2012-05-15,,,20.00,gemessen:^GDAXI
2012-05-16,,,14.00,gemessen:^GDAXI
2012-05-17,,,12.00,gemessen:^GDAXI
2012-05-18,,,12.00,gemessen:^GDAXI
2012-05-21,,,16.00,gemessen:^GDAXI
2012-05-22,,,15.00,gemessen:^GDAXI
2012-05-23,,,15.00,gemessen:^GDAXI
2012-05-24,,,14.00,gemessen:^GDAXI
2012-05-25,,,13.00,gemessen:^GDAXI
2012-05-29,,,14.00,gemessen:^GDAXI
2012-05-30,,,12.00,gemessen:^GDAXI
2012-05-31,,,10.00,gemessen:^GDAXI
2012-06-01,,,10.00,gemessen:^GDAXI
2012-06-04,,,14.00,gemessen:^GDAXI
2012-06-05,,,14.00,gemessen:^GDAXI
2012-06-06,,,15.00,gemessen:^GDAXI
2012-06-07,,,16.00,gemessen:^GDAXI
2012-06-08,,,19.00,gemessen:^GDAXI
2012-06-11,,,20.00,gemessen:^GDAXI
2012-06-12,,,22.00,gemessen:^GDAXI
2012-06-13,,,19.00,gemessen:^GDAXI
2012-06-14,,,27.00,gemessen:^GDAXI
2012-06-15,,,35.00,gemessen:^GDAXI
2012-06-18,,,36.00,gemessen:^GDAXI
2012-06-19,,,36.00,gemessen:^GDAXI
2012-06-20,,,36.00,gemessen:^GDAXI
2012-06-21,,,33.00,gemessen:^GDAXI
2012-06-22,,,33.00,gemessen:^GDAXI
2012-06-25,,,39.00,gemessen:^GDAXI
2012-06-26,,,41.00,gemessen:^GDAXI
2012-06-27,,,41.00,gemessen:^GDAXI
2012-06-28,,,48.00,gemessen:^GDAXI
2012-06-29,,,53.00,gemessen:^GDAXI
2012-07-02,,,56.00,gemessen:^GDAXI
2012-07-03,,,59.00,gemessen:^GDAXI
2012-07-05,,,55.00,gemessen:^GDAXI
2012-07-06,,,51.00,gemessen:^GDAXI
2012-07-09,,,46.00,gemessen:^GDAXI
2012-07-10,,,48.00,gemessen:^GDAXI
2012-07-11,,,44.00,gemessen:^GDAXI
2012-07-12,,,44.00,gemessen:^GDAXI
2012-07-13,,,45.00,gemessen:^GDAXI
2012-07-16,,,48.00,gemessen:^GDAXI
2012-07-17,,,52.00,gemessen:^GDAXI
2012-07-18,,,52.00,gemessen:^GDAXI
2012-07-19,,,51.00,gemessen:^GDAXI
2012-07-20,,,51.00,gemessen:^GDAXI
2012-07-23,,,47.00,gemessen:^GDAXI
2012-07-24,,,41.00,gemessen:^GDAXI
2012-07-25,,,51.00,gemessen:^GDAXI
2012-07-26,,,55.00,gemessen:^GDAXI
2012-07-27,,,61.00,gemessen:^GDAXI
2012-07-30,,,57.00,gemessen:^GDAXI
2012-07-31,,,55.00,gemessen:^GDAXI
2012-08-01,,,55.00,gemessen:^GDAXI
2012-08-02,,,49.00,gemessen:^GDAXI
2012-08-03,,,63.00,gemessen:^GDAXI
2012-08-06,,,71.00,gemessen:^GDAXI
2012-08-07,,,70.00,gemessen:^GDAXI
2012-08-08,,,73.00,gemessen:^GDAXI
2012-08-09,,,75.00,gemessen:^GDAXI
2012-08-10,,,70.00,gemessen:^GDAXI
