ticker,wochentag,faelle,schluss_ueber_eroeffnung_pct,erst_runter_pct,mittlere_tagesrendite_pct
CDW,Freitag,352,49.7,49.4,-0.033
CEG,Montag,218,50.0,50.0,-0.008
CEG,Dienstag,243,48.6,49.4,0.036
CEG,Mittwoch,242,49.2,47.9,0.004
CEG,Donnerstag,236,47.9,49.6,-0.016
CEG,Freitag,237,53.6,51.9,0.224
CHTR,Montag,329,49.8,55.3,-0.129
CHTR,Dienstag,364,51.6,53.3,-0.059
CHTR,Mittwoch,360,47.8,50.0,-0.116
CHTR,Donnerstag,354,52.5,53.1,0.077
CHTR,Freitag,352,49.1,49.1,0.058
CL,Montag,329,52.0,50.5,0.023
CL,Dienstag,364,48.1,46.7,-0.068
CL,Mittwoch,360,48.9,50.8,-0.012
CL,Donnerstag,354,50.6,47.5,-0.001
CL,Freitag,352,55.1,52.0,0.103
CL=F,Montag,329,49.2,45.6,-1.144
CL=F,Dienstag,364,49.7,50.8,-0.496
CL=F,Mittwoch,360,53.3,53.9,-0.04
CL=F,Donnerstag,355,54.9,50.4,0.273
CL=F,Freitag,353,50.7,51.6,0.045
CM,Montag,329,54.4,49.8,0.07
CM,Dienstag,364,48.4,47.8,-0.054
CM,Mittwoch,360,53.3,57.2,0.086
CM,Donnerstag,354,52.8,50.3,-0.076
CM,Freitag,352,57.1,54.5,0.141
CMCSA,Montag,329,55.3,54.1,-0.007
CMCSA,Dienstag,364,52.2,51.1,-0.028
CMCSA,Mittwoch,360,42.5,43.9,-0.18
CMCSA,Donnerstag,354,52.0,52.0,0.104
CMCSA,Freitag,352,53.7,53.4,0.099
CNQ,Montag,329,52.6,52.6,0.123
CNQ,Dienstag,364,52.5,52.7,0.012
CNQ,Mittwoch,360,50.6,52.2,-0.006
CNQ,Donnerstag,354,51.4,51.7,0.032
CNQ,Freitag,352,49.1,44.6,0.004
COF,Montag,329,52.0,53.2,0.103
COF,Dienstag,364,51.4,53.0,-0.083
COF,Mittwoch,360,50.3,49.7,-0.09
COF,Donnerstag,354,50.6,48.9,0.047
COF,Freitag,352,54.8,52.3,0.159
CON.DE,Montag,352,47.4,48.9,0.07
CON.DE,Dienstag,360,50.8,51.7,0.034
CON.DE,Mittwoch,359,49.3,47.1,-0.082
CON.DE,Donnerstag,358,49.2,53.1,-0.064
CON.DE,Freitag,352,51.1,52.0,0.074
COP,Montag,329,52.6,53.5,0.034
COP,Dienstag,364,47.8,49.2,-0.028
COP,Mittwoch,360,50.8,52.8,0.002
COP,Donnerstag,354,51.4,54.0,0.076
