ticker,datum,stunden_erfasst,reihen_lage,reihen_abweichung,tages_offen,tages_hoch,tages_tief,tages_schluss,atr,tief_marke,tief_datum,tief_bestaetigt,tief_urteil,tief_stunden_drunter,tief_abstand_atr,tief_tiefster_punkt_atr,hoch_marke,hoch_datum,hoch_urteil,hoch_stunden_drueber,hoch_abstand_atr,stand_gehalten
MSFT,2026-09-11,7,ok,0.0001,495.625,498.97,492.58,495.58,10.0579,486.0,2026-09-10,1,unberuehrt,0,0.952,0.654,515.65,2026-09-03,unberuehrt,0,-1.995,0
MTX.DE,2026-09-11,9,ok,0.0121,338.7,344.2,338.4,342.5,9.0643,337.2,2026-09-10,0,unberuehrt,0,0.585,0.132,355.6,2026-09-08,unberuehrt,0,-1.445,0
MU,2026-09-11,7,ok,0.0003,993.25,993.99,967.38,974.94,44.1493,967.38,2026-09-11,0,unberuehrt,0,0.171,0.0,1042.4,2026-09-09,unberuehrt,0,-1.528,0
MUV2.DE,2026-09-11,9,ok,0.0133,502.8,508.0,501.4,504.6,8.6214,490.8,2026-09-09,1,unberuehrt,0,1.601,1.229,531.8,2026-09-03,unberuehrt,0,-3.155,0
NFLX,2026-09-11,7,ok,0.0,76.605,77.5661,76.15,77.4,2.0993,75.03,2026-09-10,1,unberuehrt,0,1.129,0.534,83.6,2026-09-03,unberuehrt,0,-2.953,0
NKE,2026-09-11,7,ok,0.0003,36.88,37.05,36.62,36.8125,0.9393,36.55,2026-09-10,0,unberuehrt,0,0.279,0.075,38.93,2026-09-03,unberuehrt,0,-2.254,0
NVDA,2026-09-11,7,ok,0.0004,221.25,222.0,218.15,218.2,7.6929,217.2,2026-09-10,1,unberuehrt,0,0.13,0.123,234.76,2026-09-04,unberuehrt,0,-2.153,0
NXPI,2026-09-11,7,ok,0.0003,229.84,238.6,228.0,236.68,6.3729,218.45,2026-09-10,1,unberuehrt,0,2.861,1.499,231.3,2026-09-08,gebrochen,7,0.844,0
ODFL,2026-09-11,7,ok,0.0003,182.26,183.35,177.54,179.84,6.3736,177.54,2026-09-11,0,unberuehrt,0,0.361,0.0,203.44,2026-08-28,unberuehrt,0,-3.703,0
ON,2026-09-11,7,ok,0.0001,70.98,76.19,70.38,76.15,2.6707,68.79,2026-09-10,1,unberuehrt,0,2.756,0.595,75.33,2026-09-04,gebrochen,1,0.307,0
