ticker,klasse_atr,faelle,verlust_atr_median,verlust_pct_median,hoeher_nach_5_pct,schluss_5_median_pct,tiefer_5_median_atr,tiefer_5_p90_atr,hoch_5_median_atr,hoeher_nach_10_pct,schluss_10_median_pct,tiefer_10_median_atr,tiefer_10_p90_atr,hoch_10_median_atr,hoeher_nach_20_pct,schluss_20_median_pct,tiefer_20_median_atr,tiefer_20_p90_atr,hoch_20_median_atr,hoeher_nach_60_pct,schluss_60_median_pct,tiefer_60_median_atr,tiefer_60_p90_atr,hoch_60_median_atr
ADI,2.0,7,2.09,5.28,57.1,0.0,0.81,1.52,0.96,71.4,1.66,0.81,1.96,2.0,71.4,2.18,0.81,2.28,3.76,71.4,11.41,1.8,6.92,6.07
ADI,2.25,2,2.34,10.93,100.0,3.62,0.26,0.5,2.07,100.0,7.71,0.26,0.5,2.98,100.0,15.43,0.26,0.5,4.15,50.0,21.77,2.65,4.32,5.82
ADI,2.75,2,2.86,8.6,50.0,1.38,2.77,3.19,2.2,50.0,1.42,2.77,3.19,2.41,100.0,8.83,2.77,3.19,3.57,100.0,18.23,2.77,3.19,7.38
ADP,0.25,205,0.36,0.68,58.0,0.37,0.8,2.89,0.99,57.6,0.58,1.22,3.91,1.49,59.0,1.52,1.75,5.51,2.15,62.0,4.07,2.72,10.11,4.72
ADP,0.5,136,0.6,1.05,56.6,0.27,0.9,3.0,1.02,60.3,1.01,1.19,4.27,1.45,60.3,1.13,1.56,5.56,2.47,58.8,3.26,3.04,11.99,5.74
ADP,0.75,79,0.87,1.74,53.2,0.5,0.93,3.65,0.99,55.7,0.69,1.33,4.77,1.55,49.4,-0.29,1.8,7.06,2.13,59.5,3.19,3.0,10.15,4.0
ADP,1.0,46,1.13,2.06,60.9,0.91,0.82,2.53,1.3,60.9,0.41,1.28,3.85,1.8,58.7,1.09,1.43,5.24,2.26,52.2,1.23,3.09,13.88,3.67
ADP,1.25,26,1.34,2.59,57.7,0.28,1.27,2.38,1.1,57.7,0.65,1.44,4.41,1.98,61.5,1.67,1.61,9.44,2.5,69.2,7.57,3.22,9.92,5.25
ADP,1.5,15,1.62,2.48,66.7,1.0,0.7,1.32,1.2,60.0,0.45,0.98,2.04,1.61,53.3,0.31,1.36,3.28,2.56,66.7,2.35,3.08,6.73,5.98
ADP,1.75,6,1.88,3.85,33.3,-0.56,1.17,3.17,1.68,33.3,-1.25,2.25,3.22,1.68,50.0,0.39,2.64,4.26,1.82,83.3,8.02,3.13,6.19,3.1
