ticker,datum,position,serie_laenge,typisch,tief,einstieg,atr,abstand_atr,rsi,rsi_rel,benoetigt_atr,benoetigt_ganz_atr,anstieg_atr,anstieg_pivot_atr,typischer_anstieg_atr,ziel_atr,resthistorie
SHL.DE,2020-02-03,2,4,1.0,34.1818,35.8558,1.0171,1.646,35.15,-11.39,8.499,8.499,25.348,0.829,1.074,0.966,1667
SHL.DE,2020-02-28,3,4,1.0,32.1864,33.1542,0.925,1.046,26.73,-19.81,7.188,7.188,30.793,2.102,1.074,0.966,1648
SHL.DE,2020-03-16,4,4,1.0,25.5377,28.535,1.7592,1.704,19.34,-27.2,0.0,0.0,18.817,2.218,1.074,0.966,1637
SHL.DE,2020-05-04,1,1,1.0,35.1076,37.9929,1.1466,2.516,58.61,12.07,0.0,2.817,20.621,0.547,1.074,0.966,1605
SHL.DE,2020-05-07,1,1,1.0,36.1067,37.4687,1.3857,0.983,59.8,13.26,0.297,3.052,17.441,0.831,1.074,0.966,1601
SHL.DE,2020-05-27,1,3,1.0,40.2465,41.6354,1.209,1.149,64.51,17.97,5.04,6.922,16.544,-0.345,1.074,0.966,1587
SHL.DE,2020-06-15,2,3,1.0,37.2895,38.4409,1.2113,0.951,45.83,-0.72,4.468,4.468,19.15,0.825,1.074,0.966,1576
SHL.DE,2020-07-02,3,3,1.0,36.4875,37.8137,0.9562,1.387,44.97,-1.57,4.821,4.821,24.914,0.656,1.074,0.966,1563
SHL.DE,2020-07-24,1,1,1.0,38.9338,40.4615,0.9972,1.532,54.43,7.89,7.076,7.076,21.235,0.431,1.074,0.966,1546
SHL.DE,2020-08-04,1,4,1.0,35.6945,36.5144,1.2657,0.648,38.55,-7.99,3.016,3.016,19.849,0.687,1.074,0.966,1539
SHL.DE,2020-08-21,2,4,1.0,34.4983,35.2151,0.8045,0.891,32.9,-13.64,3.258,3.258,32.841,-0.668,1.074,0.966,1527
SHL.DE,2020-08-28,3,4,1.0,33.7814,34.1398,0.6944,0.516,28.37,-18.18,2.742,2.742,39.596,-0.284,1.074,0.966,1522
SHL.DE,2020-09-03,4,4,1.0,31.8773,33.3916,0.8365,1.81,25.3,-21.24,0.0,0.0,33.765,1.666,1.074,0.966,1517
SHL.DE,2020-09-25,1,1,1.0,32.5717,34.0502,0.7863,1.88,39.22,-7.32,0.222,0.222,35.085,0.758,1.074,0.966,1502
SHL.DE,2020-10-21,1,2,1.0,33.3871,34.319,0.7242,1.287,50.57,4.03,1.367,1.367,37.721,0.439,1.074,0.966,1484
SHL.DE,2020-10-30,2,2,1.0,32.397,32.8674,0.7021,0.67,39.83,-6.72,0.0,0.0,40.975,3.612,1.074,0.966,1477
SHL.DE,2020-11-10,1,1,1.0,34.5386,34.888,0.7319,0.477,61.61,15.07,1.99,2.362,36.548,0.471,1.074,0.966,1470
SHL.DE,2020-11-12,1,2,1.0,34.3683,34.5744,0.7322,0.281,57.95,11.4,1.756,2.128,36.96,-0.349,1.074,0.966,1467
SHL.DE,2020-11-20,2,2,1.0,33.0825,33.7411,0.6698,0.983,48.55,2.0,0.0,0.407,41.648,1.739,1.074,0.966,1462
SHL.DE,2020-12-08,1,1,1.0,35.6407,36.3352,0.6448,1.077,69.68,23.14,0.0,4.39,39.238,1.529,1.074,0.966,1450
SHL.DE,2020-12-10,1,2,1.0,36.0753,37.1954,0.7351,1.524,74.23,27.68,0.171,4.442,33.25,0.817,1.074,0.966,1448
SHL.DE,2020-12-15,2,2,1.0,35.9499,36.7384,0.7709,1.023,63.58,17.04,0.0,4.073,32.297,1.372,1.074,0.966,1445
SHL.DE,2020-12-21,1,1,1.0,36.2321,37.173,0.8116,1.159,60.18,13.64,0.0,4.217,30.144,1.226,1.074,0.966,1441
SHL.DE,2020-12-30,1,1,1.0,37.6165,38.432,0.7351,1.109,64.87,18.32,0.0,6.539,31.568,2.133,1.074,0.966,1436
SHL.DE,2021-01-12,1,1,1.0,38.0243,39.2474,0.7796,1.569,64.79,18.25,0.0,6.689,28.721,1.328,1.074,0.966,1429
SHL.DE,2021-01-25,1,1,1.0,39.0995,41.2187,0.8065,2.628,58.41,11.87,0.0,7.799,25.319,4.428,1.074,0.966,1419
SHL.DE,2021-02-10,1,3,1.0,43.4499,44.1175,0.8477,0.787,72.43,25.89,3.789,12.551,20.666,0.312,1.074,0.966,1408
SHL.DE,2021-02-26,2,3,1.0,41.0353,42.0419,0.7848,1.283,47.03,0.49,1.016,10.481,24.969,2.078,1.074,0.966,1396
SHL.DE,2021-03-08,3,3,1.0,40.2382,41.9007,0.8872,1.874,37.98,-8.57,0.0,8.372,22.245,1.997,1.074,0.966,1389
SHL.DE,2021-03-25,1,1,1.0,40.5388,42.297,0.9647,1.823,48.19,1.65,0.0,8.012,20.049,0.321,1.074,0.966,1377
SHL.DE,2021-04-28,1,1,1.0,42.3699,43.0895,0.7301,0.986,48.74,2.2,1.672,13.094,25.405,2.57,1.074,0.966,1355
SHL.DE,2021-05-13,1,1,1.0,41.1491,42.4063,0.9461,1.329,45.49,-1.06,0.0,8.814,20.326,0.674,1.074,0.966,1344
SHL.DE,2021-06-22,1,1,1.0,44.6655,46.3691,0.8296,2.053,64.44,17.9,0.0,14.29,18.403,1.823,1.074,0.966,1316
SHL.DE,2021-07-01,1,1,1.0,46.4966,47.3529,0.9617,0.89,68.24,21.69,0.0,14.231,14.852,2.406,1.074,0.966,1309
SHL.DE,2021-07-19,1,1,1.0,48.0271,48.8834,0.8121,1.054,63.62,17.08,0.0,18.738,15.705,1.638,1.074,0.966,1298
SHL.DE,2021-07-26,1,1,1.0,49.2113,50.0312,0.9084,0.903,67.38,20.84,0.461,18.056,12.777,4.613,1.074,0.966,1293
SHL.DE,2021-08-12,1,1,1.0,52.9646,54.1671,1.0203,1.179,80.44,33.9,3.5,19.754,7.321,1.821,1.074,0.966,1280
SHL.DE,2021-08-19,1,3,1.0,53.6387,55.2967,1.019,1.627,70.81,24.27,4.166,20.44,6.222,0.465,1.074,0.966,1274
SHL.DE,2021-08-31,2,3,1.0,53.6023,54.7319,0.9214,1.226,55.79,9.25,4.568,22.566,7.494,-0.672,1.074,0.966,1266
SHL.DE,2021-09-13,3,3,1.0,50.6325,51.9261,0.9917,1.304,33.94,-12.6,1.249,17.972,9.793,2.205,1.074,0.966,1257
SHL.DE,2021-10-06,1,1,1.0,49.3935,50.596,1.3027,0.923,39.22,-7.32,0.0,12.73,8.476,1.273,1.074,0.966,1241
SHL.DE,2021-11-10,1,1,1.0,53.4565,54.8959,1.4927,0.964,53.59,7.05,1.623,13.832,4.516,4.418,1.074,0.966,1216
