ticker,position,faelle,zurueckfall_atr_min,zurueckfall_atr_p25,zurueckfall_atr_median,zurueckfall_atr_p75,zurueckfall_atr_p90,zurueckfall_atr_p95,zurueckfall_atr_max,n_21t,haelt_21t_pct,ruecksetzer_21t_median,ruecksetzer_21t_p75,ruecksetzer_21t_p90,n_42t,haelt_42t_pct,ruecksetzer_42t_median,ruecksetzer_42t_p75,ruecksetzer_42t_p90,n_63t,haelt_63t_pct,ruecksetzer_63t_median,ruecksetzer_63t_p75,ruecksetzer_63t_p90,n_84t,haelt_84t_pct,ruecksetzer_84t_median,ruecksetzer_84t_p75,ruecksetzer_84t_p90,n_126t,haelt_126t_pct,ruecksetzer_126t_median,ruecksetzer_126t_p75,ruecksetzer_126t_p90,n_189t,haelt_189t_pct,ruecksetzer_189t_median,ruecksetzer_189t_p75,ruecksetzer_189t_p90,n_252t,haelt_252t_pct,ruecksetzer_252t_median,ruecksetzer_252t_p75,ruecksetzer_252t_p90
BTC-USD,Hoch 4,15,1.518039595578982,3.6247896025942827,4.754386144922023,7.9517903504206195,13.441884409482336,16.207704057189307,18.234147442050272,15,33.3,3.0,4.38,5.45,15,20.0,4.25,5.38,6.9,15,20.0,4.75,7.75,13.35,15,13.3,5.25,8.0,14.35,15,13.3,5.75,8.0,14.35,14,7.1,6.38,7.88,15.43,14,7.1,6.88,7.88,15.78
BTC-USD,Hoch 5,8,1.286727453008303,2.151552864677359,4.114819808672081,5.863420954293164,8.581513978581818,9.181296447153944,9.781078915726072,8,25.0,2.75,3.44,4.67,8,25.0,4.0,5.75,8.38,8,0.0,4.0,5.75,8.53,8,0.0,4.0,5.75,8.53,8,0.0,4.88,6.56,10.2,7,0.0,6.0,9.62,11.1,7,0.0,6.0,9.62,11.1
BTC-USD,Hoch 6,7,0.9735037214665136,3.4103533609717376,5.18930215176429,7.080750788702396,10.467278155013618,12.037181009970507,13.607083864927404,7,57.1,3.75,4.75,6.4,7,28.6,4.75,6.62,10.05,7,28.6,5.0,7.0,10.35,7,28.6,5.0,7.38,10.8,7,28.6,6.25,11.88,12.75,6,16.7,5.88,10.31,13.5,6,0.0,5.88,10.31,13.75
BTC-USD,Hoch 7,5,2.1705694483141755,3.5023281479129817,4.708758290512936,5.45558156587633,6.327824979635849,6.618572784222354,6.9093205888088605,5,20.0,3.5,5.25,5.4,5,20.0,4.5,5.25,5.4,5,0.0,4.5,5.25,6.15,5,0.0,4.5,5.25,7.05,5,0.0,5.25,6.5,11.3,5,0.0,5.25,7.0,12.4,5,0.0,5.25,7.0,12.4
BTC-USD,Hoch 8,1,3.7567514611144306,3.7567514611144306,3.7567514611144306,3.7567514611144306,3.7567514611144306,3.7567514611144306,3.7567514611144306,1,0.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75,1,0.0,3.75,3.75,3.75
BZ=F,alle,161,0.9844344830523467,2.774718211765873,4.961403969024662,7.924142654648143,11.9970070153088,13.857088828742611,49.78018555308009,161,36.0,3.0,5.25,7.5,161,28.6,4.0,7.0,10.5,161,21.7,4.75,7.75,11.75,161,18.6,5.5,8.5,12.5,160,16.9,5.88,9.38,13.75,154,15.6,6.62,10.19,16.0,153,13.7,7.25,11.0,16.0
BZ=F,Hoch 1,77,0.9844344830523467,3.2451486312144193,5.575942085828835,7.97123780052792,12.891719208135829,23.551545405061837,38.628049183649985,77,42.9,4.0,5.5,7.6,77,33.8,4.75,7.25,11.85,77,24.7,5.5,7.75,12.85,77,20.8,5.75,8.75,14.65,77,18.2,5.75,9.75,14.65,76,15.8,6.38,10.25,16.0,75,12.0,6.75,12.75,16.0
BZ=F,Hoch 2,32,1.283952450142597,2.3242061834094687,4.897159509408809,6.884725977215581,10.967954140852584,12.583216201681418,49.78018555308009,32,28.1,2.88,4.75,7.23,32,21.9,3.88,6.25,9.13,32,18.8,4.75,6.75,10.75,32,15.6,5.0,7.12,12.1,32,15.6,5.75,8.06,12.48,31,12.9,6.25,8.88,12.5,31,12.9,6.75,9.0,16.0
BZ=F,Hoch 3,20,1.0716474051295422,2.627497723363028,5.934104727439608,8.370245042683578,12.7243362473599,13.4905445925069,13.857088828742611,20,45.0,3.25,5.81,8.25,20,35.0,4.12,7.81,8.65,20,30.0,5.88,8.31,12.58,20,25.0,7.38,8.56,12.58,20,25.0,7.38,10.81,13.3,19,26.3,7.75,11.0,14.2,19,26.3,8.25,12.0,16.0
BZ=F,Hoch 4,9,1.209876771126598,2.1721730729699336,3.1002952128395043,6.697512603821891,7.320440078806079,8.123951927511152,8.927463776216229,9,0.0,2.0,2.5,3.05,9,0.0,2.5,3.25,4.95,9,0.0,3.0,6.5,7.15,9,0.0,3.25,6.5,10.2,9,0.0,3.75,8.75,12.4,8,0.0,5.62,9.44,12.85,8,0.0,7.0,9.5,13.02
